Episode,Average_Reward
1011,0.0148
1012,0.0148
1013,0.0148
1014,0.0158
1015,0.0158
1016,0.0157
1017,0.0157
1018,0.0157
1019,0.0157
1020,0.0157
1021,0.0157
1022,0.0157
1023,0.0156
1024,0.0156
1025,0.0156
1026,0.0156
1027,0.0156
1028,0.0156
1029,0.0155
1030,0.0155
1031,0.0155
1032,0.0155
1033,0.0155
1034,0.0155
1035,0.0155
1036,0.0154
1037,0.0154
1038,0.0154
1039,0.0154
1040,0.0154
1041,0.0154
1042,0.0154
1043,0.0153
1044,0.0153
1045,0.0153
1046,0.0153
1047,0.0153
1048,0.0153
1049,0.0153
1050,0.0152
1051,0.0152
1052,0.0152
1053,0.0152
1054,0.0152
1055,0.0152
1056,0.0152
1057,0.0151
1058,0.0151
1059,0.0151
1060,0.0151
1061,0.0151
1062,0.0151
1063,0.0151
1064,0.0150
1065,0.0150
1066,0.0159
1067,0.0159
1068,0.0159
1069,0.0159
1070,0.0159
1071,0.0159
1072,0.0159
1073,0.0158
1074,0.0158
1075,0.0158
1076,0.0158
1077,0.0158
1078,0.0158
1079,0.0158
1080,0.0157
1081,0.0157
1082,0.0157
1083,0.0157
1084,0.0157
1085,0.0157
1086,0.0157
1087,0.0156
1088,0.0156
1089,0.0156
1090,0.0156
1091,0.0156
1092,0.0156
1093,0.0156
1094,0.0155
1095,0.0155
1096,0.0155
1097,0.0155
1098,0.0155
1099,0.0155
1100,0.0155
1101,0.0154
1102,0.0154
1103,0.0154
1104,0.0154
1105,0.0154
1106,0.0154
1107,0.0154
1108,0.0153
1109,0.0153
1110,0.0153
1111,0.0153
1112,0.0153
1113,0.0153
1114,0.0153
1115,0.0152
1116,0.0152
1117,0.0152
1118,0.0152
1119,0.0152
1120,0.0152
1121,0.0152
1122,0.0152
1123,0.0151
1124,0.0151
1125,0.0151
1126,0.0151
1127,0.0151
1128,0.0151
1129,0.0151
1130,0.0150
1131,0.0150
1132,0.0150
1133,0.0150
1134,0.0150
1135,0.0159
1136,0.0158
1137,0.0158
1138,0.0158
1139,0.0158
1140,0.0158
1141,0.0158
1142,0.0158
1143,0.0157
1144,0.0157
1145,0.0157
1146,0.0157
1147,0.0157
1148,0.0157
1149,0.0157
1150,0.0157
1151,0.0156
1152,0.0156
1153,0.0156
1154,0.0156
1155,0.0156
1156,0.0156
1157,0.0156
1158,0.0155
1159,0.0155
1160,0.0155
1161,0.0155
1162,0.0155
1163,0.0155
1164,0.0155
1165,0.0155
1166,0.0154
1167,0.0154
1168,0.0154
1169,0.0154
1170,0.0154
1171,0.0154
1172,0.0154
1173,0.0153
1174,0.0153
1175,0.0153
1176,0.0153
1177,0.0153
1178,0.0153
1179,0.0153
1180,0.0153
1181,0.0152
1182,0.0152
1183,0.0152
1184,0.0152
1185,0.0152
1186,0.0152
1187,0.0152
1188,0.0152
1189,0.0151
1190,0.0151
1191,0.0151
1192,0.0151
1193,0.0151
1194,0.0151
1195,0.0151
1196,0.0151
1197,0.0150
1198,0.0150
1199,0.0150
1200,0.0150
1201,0.0158
1202,0.0158
1203,0.0158
1204,0.0158
1205,0.0158
1206,0.0158
1207,0.0157
1208,0.0157
1209,0.0157
1210,0.0157
1211,0.0157
1212,0.0157
1213,0.0157
1214,0.0157
1215,0.0156
1216,0.0156
1217,0.0156
1218,0.0156
1219,0.0156
1220,0.0156
1221,0.0156
1222,0.0155
1223,0.0155
1224,0.0155
1225,0.0155
1226,0.0155
1227,0.0155
1228,0.0155
1229,0.0155
1230,0.0154
1231,0.0154
1232,0.0154
1233,0.0154
1234,0.0154
1235,0.0154
1236,0.0154
1237,0.0154
1238,0.0153
1239,0.0153
1240,0.0153
1241,0.0153
1242,0.0153
1243,0.0153
1244,0.0153
1245,0.0153
1246,0.0152
1247,0.0152
1248,0.0152
1249,0.0152
1250,0.0152
1251,0.0152
1252,0.0152
1253,0.0152
1254,0.0152
1255,0.0151
1256,0.0151
1257,0.0151
1258,0.0151
1259,0.0151
1260,0.0151
1261,0.0151
1262,0.0151
1263,0.0150
1264,0.0150
1265,0.0150
1266,0.0150
1267,0.0150
1268,0.0150
1269,0.0150
1270,0.0150
1271,0.0149
1272,0.0149
1273,0.0149
1274,0.0149
1275,0.0149
1276,0.0149
1277,0.0149
1278,0.0149
1279,0.0149
1280,0.0148
1281,0.0148
1282,0.0148
1283,0.0148
1284,0.0148
1285,0.0148
1286,0.0148
1287,0.0148
1288,0.0148
1289,0.0147
1290,0.0147
1291,0.0147
1292,0.0147
1293,0.0147
1294,0.0147
1295,0.0147
1296,0.0147
1297,0.0146
1298,0.0146
1299,0.0146
1300,0.0146
1301,0.0146
1302,0.0146
1303,0.0146
1304,0.0146
1305,0.0146
1306,0.0145
1307,0.0145
1308,0.0145
1309,0.0145
1310,0.0145
1311,0.0145
1312,0.0145
1313,0.0145
1314,0.0145
1315,0.0144
1316,0.0144
1317,0.0144
1318,0.0144
1319,0.0144
1320,0.0144
1321,0.0144
1322,0.0144
1323,0.0144
1324,0.0144
1325,0.0143
1326,0.0143
1327,0.0143
1328,0.0143
1329,0.0143
1330,0.0143
1331,0.0143
1332,0.0143
1333,0.0143
1334,0.0142
1335,0.0142
1336,0.0142
1337,0.0142
1338,0.0142
1339,0.0142
1340,0.0142
1341,0.0142
1342,0.0142
1343,0.0141
1344,0.0141
1345,0.0141
1346,0.0141
1347,0.0141
1348,0.0141
1349,0.0141
1350,0.0141
1351,0.0141
1352,0.0141
1353,0.0140
1354,0.0140
1355,0.0140
1356,0.0140
1357,0.0140
1358,0.0140
1359,0.0140
1360,0.0140
1361,0.0140
1362,0.0140
1363,0.0139
1364,0.0139
1365,0.0139
1366,0.0139
1367,0.0139
1368,0.0139
1369,0.0139
1370,0.0139
1371,0.0139
1372,0.0138
1373,0.0138
1374,0.0138
1375,0.0138
1376,0.0138
1377,0.0138
1378,0.0138
1379,0.0138
1380,0.0138
1381,0.0138
1382,0.0137
1383,0.0137
1384,0.0137
1385,0.0137
1386,0.0137
1387,0.0137
1388,0.0137
1389,0.0137
1390,0.0137
1391,0.0137
1392,0.0136
1393,0.0136
1394,0.0136
1395,0.0136
1396,0.0136
1397,0.0136
1398,0.0136
1399,0.0136
1400,0.0136
1401,0.0143
1402,0.0143
1403,0.0143
1404,0.0142
1405,0.0142
1406,0.0142
1407,0.0142
1408,0.0142
1409,0.0149
1410,0.0149
1411,0.0149
1412,0.0149
1413,0.0149
1414,0.0149
1415,0.0148
1416,0.0148
1417,0.0148
1418,0.0148
1419,0.0148
1420,0.0148
1421,0.0148
1422,0.0148
1423,0.0155
1424,0.0154
1425,0.0154
1426,0.0154
1427,0.0154
1428,0.0154
1429,0.0154
1430,0.0154
1431,0.0154
1432,0.0154
1433,0.0154
1434,0.0153
1435,0.0153
1436,0.0153
1437,0.0153
1438,0.0153
1439,0.0153
1440,0.0153
1441,0.0153
1442,0.0153
1443,0.0152
1444,0.0152
1445,0.0159
1446,0.0159
1447,0.0159
1448,0.0159
1449,0.0159
1450,0.0159
1451,0.0159
1452,0.0158
1453,0.0158
1454,0.0158
1455,0.0158
1456,0.0158
1457,0.0158
1458,0.0158
1459,0.0158
1460,0.0158
1461,0.0157
1462,0.0157
1463,0.0157
1464,0.0157
1465,0.0157
1466,0.0157
1467,0.0157
1468,0.0157
1469,0.0157
1470,0.0156
1471,0.0156
1472,0.0156
1473,0.0156
1474,0.0156
1475,0.0156
1476,0.0156
1477,0.0156
1478,0.0156
1479,0.0156
1480,0.0155
1481,0.0155
1482,0.0155
1483,0.0155
1484,0.0155
1485,0.0155
1486,0.0155
1487,0.0155
1488,0.0155
1489,0.0154
1490,0.0154
1491,0.0154
1492,0.0154
1493,0.0154
1494,0.0161
1495,0.0161
1496,0.0160
1497,0.0160
1498,0.0160
1499,0.0160
1500,0.0160
1501,0.0160
1502,0.0160
1503,0.0160
1504,0.0160
1505,0.0159
1506,0.0159
1507,0.0159
1508,0.0159
1509,0.0159
1510,0.0159
1511,0.0159
1512,0.0159
1513,0.0159
1514,0.0159
1515,0.0158
1516,0.0158
1517,0.0158
1518,0.0158
1519,0.0158
1520,0.0158
1521,0.0158
1522,0.0158
1523,0.0158
1524,0.0157
1525,0.0157
1526,0.0157
1527,0.0157
1528,0.0157
1529,0.0157
1530,0.0157
1531,0.0157
1532,0.0157
1533,0.0157
1534,0.0156
1535,0.0156
1536,0.0156
1537,0.0156
1538,0.0156
1539,0.0156
1540,0.0156
1541,0.0156
1542,0.0156
1543,0.0156
1544,0.0155
1545,0.0155
1546,0.0155
1547,0.0155
1548,0.0155
1549,0.0155
1550,0.0155
1551,0.0155
1552,0.0155
1553,0.0155
1554,0.0154
1555,0.0154
1556,0.0154
1557,0.0154
1558,0.0154
1559,0.0154
1560,0.0154
1561,0.0154
1562,0.0154
1563,0.0154
1564,0.0153
1565,0.0153
1566,0.0153
1567,0.0153
1568,0.0153
1569,0.0153
1570,0.0153
1571,0.0153
1572,0.0153
1573,0.0153
1574,0.0152
1575,0.0152
1576,0.0152
1577,0.0152
1578,0.0152
1579,0.0152
1580,0.0152
1581,0.0152
1582,0.0152
1583,0.0152
1584,0.0152
1585,0.0151
1586,0.0151
1587,0.0151
1588,0.0151
1589,0.0151
1590,0.0151
1591,0.0151
1592,0.0151
1593,0.0151
1594,0.0151
1595,0.0150
1596,0.0150
1597,0.0150
1598,0.0150
1599,0.0150
1600,0.0150
1601,0.0150
1602,0.0150
1603,0.0150
1604,0.0150
1605,0.0150
1606,0.0156
1607,0.0156
1608,0.0155
1609,0.0155
1610,0.0155
1611,0.0155
1612,0.0155
1613,0.0155
1614,0.0155
1615,0.0155
1616,0.0155
1617,0.0155
1618,0.0155
1619,0.0154
1620,0.0154
1621,0.0154
1622,0.0154
1623,0.0154
1624,0.0154
1625,0.0154
1626,0.0154
1627,0.0154
1628,0.0154
1629,0.0153
1630,0.0153
1631,0.0153
1632,0.0153
1633,0.0153
1634,0.0153
1635,0.0153
1636,0.0153
1637,0.0153
1638,0.0153
1639,0.0153
1640,0.0152
1641,0.0152
1642,0.0152
1643,0.0152
1644,0.0152
1645,0.0152
1646,0.0152
1647,0.0152
1648,0.0152
1649,0.0152
1650,0.0152
1651,0.0151
1652,0.0151
1653,0.0151
1654,0.0151
1655,0.0151
1656,0.0151
1657,0.0151
1658,0.0151
1659,0.0151
1660,0.0151
1661,0.0151
1662,0.0150
1663,0.0150
1664,0.0150
1665,0.0150
1666,0.0150
1667,0.0150
1668,0.0156
1669,0.0156
1670,0.0156
1671,0.0156
1672,0.0156
1673,0.0155
1674,0.0155
1675,0.0155
1676,0.0155
1677,0.0155
1678,0.0155
1679,0.0155
1680,0.0155
1681,0.0155
1682,0.0155
1683,0.0154
1684,0.0154
1685,0.0154
1686,0.0154
1687,0.0154
1688,0.0154
1689,0.0154
1690,0.0154
1691,0.0154
1692,0.0154
1693,0.0154
1694,0.0153
1695,0.0153
1696,0.0153
1697,0.0153
1698,0.0153
1699,0.0153
